Mes,Nivel,% de var. anual,% de var. mensual
Jan-97,11.3,,
Feb-97,11.3,,0.4%
Mar-97,11.3,,-0.5%
Apr-97,11.2,,-0.3%
May-97,11.2,,-0.1%
Jun-97,11.2,,0.2%
Jul-97,11.3,,0.2%
Aug-97,11.3,,0.2%
Sep-97,11.3,,0.0%
Oct-97,11.3,,-0.2%
Nov-97,11.2,,-0.2%
Dec-97,11.3,,0.2%
Jan-98,11.3,0.5%,0.6%
Feb-98,11.4,0.5%,0.3%
Mar-98,11.4,0.8%,-0.1%
Apr-98,11.4,1.2%,0.0%
May-98,11.4,1.2%,-0.1%
Jun-98,11.4,1.1%,0.2%
Jul-98,11.4,1.2%,0.3%
Aug-98,11.4,1.1%,0.0%
Sep-98,11.4,1.1%,0.0%
Oct-98,11.4,0.9%,-0.4%
Nov-98,11.3,0.8%,-0.2%
Dec-98,11.3,0.7%,0.0%
Jan-99,11.4,0.5%,0.5%
Feb-99,11.4,0.0%,-0.2%
Mar-99,11.3,-0.6%,-0.8%
Apr-99,11.3,-0.7%,-0.1%
May-99,11.2,-1.2%,-0.5%
Jun-99,11.2,-1.3%,0.0%
Jul-99,11.2,-1.5%,0.2%
Aug-99,11.2,-1.9%,-0.4%
Sep-99,11.2,-2.0%,-0.2%
Oct-99,11.2,-1.7%,0.0%
Nov-99,11.1,-1.8%,-0.3%
Dec-99,11.1,-1.8%,-0.1%
Jan-00,11.2,-1.4%,0.8%
Feb-00,11.2,-1.3%,0.0%
Mar-00,11.2,-1.1%,-0.5%
Apr-00,11.2,-1.1%,-0.1%
May-00,11.1,-1.0%,-0.4%
Jun-00,11.1,-1.1%,-0.2%
Jul-00,11.1,-0.9%,0.4%
Aug-00,11.1,-0.7%,-0.2%
Sep-00,11.1,-0.7%,-0.2%
Oct-00,11.1,-0.5%,0.2%
Nov-00,11.1,-0.7%,-0.5%
Dec-00,11.1,-0.7%,-0.1%
Jan-01,11.1,-1.5%,0.1%
Feb-01,11.0,-1.7%,-0.2%
Mar-01,11.1,-1.0%,0.2%
Apr-01,11.1,-0.2%,0.7%
May-01,11.1,0.2%,0.1%
Jun-01,11.1,-0.3%,-0.7%
Jul-01,11.0,-1.1%,-0.3%
Aug-01,11.0,-1.2%,-0.4%
Sep-01,11.0,-1.1%,-0.1%
Oct-01,10.9,-1.7%,-0.4%
Nov-01,10.9,-1.6%,-0.3%
Dec-01,10.9,-1.5%,-0.1%
Jan-02,11.1,0.6%,2.3%
Feb-02,11.5,4.0%,3.1%
Mar-02,11.9,7.9%,4.0%
Apr-02,13.2,18.4%,10.4%
May-02,13.7,23.0%,4.0%
Jun-02,14.2,28.4%,3.6%
Jul-02,14.7,32.9%,3.2%
Aug-02,15.0,36.5%,2.3%
Sep-02,15.2,38.5%,1.4%
Oct-02,15.2,39.4%,0.2%
Nov-02,15.3,40.6%,0.5%
Dec-02,15.3,40.9%,0.2%
Jan-03,15.5,39.6%,1.3%
