Dates,CMonetary Base
30/01/2003,18.459
31/01/2003,18.584
03/02/2003,18.605
04/02/2003,18.688
05/02/2003,18.731
06/02/2003,18.810
07/02/2003,18.951
10/02/2003,19.070
11/02/2003,18.983
12/02/2003,18.882
13/02/2003,18.872
14/02/2003,18.873
17/02/2003,18.882
18/02/2003,18.843
19/02/2003,18.812
20/02/2003,18.791
21/02/2003,18.805
24/02/2003,18.797
25/02/2003,18.741
26/02/2003,18.699
27/02/2003,18.748
28/02/2003,18.887
03/03/2003,19.021
04/03/2003,19.091
05/03/2003,19.137
06/03/2003,19.301
07/03/2003,19.449
10/03/2003,19.546
11/03/2003,19.504
12/03/2003,19.432
13/03/2003,19.397
14/03/2003,19.391
17/03/2003,19.358
18/03/2003,19.281
19/03/2003,19.180
20/03/2003,19.207
21/03/2003,19.216
24/03/2003,19.200
25/03/2003,19.106
26/03/2003,19.099
27/03/2003,19.217
28/03/2003,19.417
01/04/2003,19.537
02/04/2003,19.575
03/04/2003,19.748
04/04/2003,19.816
07/04/2003,19.957
08/04/2003,20.030
09/04/2003,20.053
10/04/2003,20.081
11/04/2003,20.114
14/04/2003,20.174
15/04/2003,20.243
16/04/2003,20.224
21/04/2003,20.174
22/04/2003,19.993
23/04/2003,19.829
24/04/2003,19.733
25/04/2003,19.698
28/04/2003,19.711
29/04/2003,19.735
30/04/2003,19.845
02/05/2003,20.049
05/05/2003,20.258
06/05/2003,20.273
07/05/2003,20.305
08/05/2003,20.471
09/05/2003,20.620
12/05/2003,20.656
13/05/2003,20.557
14/05/2003,20.464
15/05/2003,20.471
16/05/2003,20.489
19/05/2003,20.495
20/05/2003,20.438
21/05/2003,20.424
22/05/2003,20.436
23/05/2003,20.455
26/05/2003,20.436
27/05/2003,20.406
28/05/2003,20.439
29/05/2003,20.514
30/05/2003,20.727
02/06/2003,20.905
03/06/2003,21.039
04/06/2003,21.156
05/06/2003,21.349
06/06/2003,21.557
09/06/2003,21.704
10/06/2003,21.773
11/06/2003,21.755
12/06/2003,21.765
13/06/2003,21.825
17/06/2003,21.868
18/06/2003,21.777
19/06/2003,21.752
20/06/2003,21.759
23/06/2003,21.781
24/06/2003,21.741
25/06/2003,21.745
26/06/2003,21.837
27/06/2003,21.987
30/06/2003,22.246
01/07/2003,22.465
02/07/2003,22.728
03/07/2003,23.008
04/07/2003,23.257
07/07/2003,23.571
08/07/2003,23.784
10/07/2003,23.912
11/07/2003,23.930
14/07/2003,23.897
15/07/2003,23.810
16/07/2003,23.738
17/07/2003,23.788
18/07/2003,23.888
21/07/2003,23.898
22/07/2003,23.829
23/07/2003,23.749
24/07/2003,23.728
25/07/2003,23.713
28/07/2003,23.725
29/07/2003,23.727
30/07/2003,23.808
31/07/2003,24.012
01/08/2003,24.242
04/08/2003,24.467
05/08/2003,24.598
06/08/2003,24.670
07/08/2003,24.867
08/08/2003,25.039
11/08/2003,25.102
12/08/2003,25.005
13/08/2003,24.885
14/08/2003,24.862
15/08/2003,24.836
19/08/2003,24.786
20/08/2003,24.635
21/08/2003,24.598
22/08/2003,24.539
25/08/2003,24.552
26/08/2003,24.456
27/08/2003,24.494
28/08/2003,24.641
29/08/2003,24.873
01/09/2003,25.079
02/09/2003,25.234
03/09/2003,25.425
04/09/2003,25.633
05/09/2003,25.886
08/09/2003,26.065
09/09/2003,26.066
10/09/2003,25.982
11/09/2003,25.930
12/09/2003,25.896
15/09/2003,25.833
16/09/2003,25.694
17/09/2003,25.546
18/09/2003,25.505
19/09/2003,25.485
22/09/2003,25.421
23/09/2003,25.270
24/09/2003,25.149
25/09/2003,25.094
26/09/2003,25.159
29/09/2003,25.268
30/09/2003,25.320
01/10/2003,25.442
02/10/2003,25.685
03/10/2003,25.927
06/10/2003,26.109
07/10/2003,26.151
08/10/2003,26.141
09/10/2003,26.239
10/10/2003,26.332
14/10/2003,26.288
15/10/2003,26.037
16/10/2003,25.866
17/10/2003,25.766
20/10/2003,25.748
21/10/2003,25.565
22/10/2003,25.438
23/10/2003,25.379
24/10/2003,25.346
27/10/2003,25.309
28/10/2003,25.263
29/10/2003,25.312
30/10/2003,25.479
31/10/2003,25.682
03/11/2003,26.001
04/11/2003,26.202
05/11/2003,26.478
07/11/2003,26.599
10/11/2003,26.708
11/11/2003,26.573
12/11/2003,26.412
13/11/2003,26.355
14/11/2003,26.340
17/11/2003,26.308
18/11/2003,26.219
19/11/2003,26.138
20/11/2003,26.137
21/11/2003,26.165
24/11/2003,26.217
25/11/2003,26.226
26/11/2003,26.301
27/11/2003,26.436
28/11/2003,26.691
01/12/2003,26.964
02/12/2003,27.185
03/12/2003,27.425
04/12/2003,27.685
05/12/2003,27.992
09/12/2003,28.237
10/12/2003,28.180
11/12/2003,28.173
12/12/2003,28.206
15/12/2003,28.262
16/12/2003,28.230
17/12/2003,28.262
18/12/2003,28.479
19/12/2003,28.842
22/12/2003,29.317
23/12/2003,29.685
24/12/2003,29.864
26/12/2003,30.124
29/12/2003,30.252
30/12/2003,30.349
31/12/2003,30.316
02/01/2004,30.367
05/01/2004,30.323
06/01/2004,30.210
07/01/2004,30.079
08/01/2004,30.032
09/01/2004,29.944
12/01/2004,29.837
13/01/2004,29.576
14/01/2004,29.310
15/01/2004,29.159
16/01/2004,28.972
19/01/2004,28.867
20/01/2004,28.629
21/01/2004,28.444
22/01/2004,28.299
23/01/2004,28.225
26/01/2004,28.206
27/01/2004,28.063
28/01/2004,28.110
29/01/2004,28.289
30/01/2004,28.546
02/02/2004,28.800
03/02/2004,28.903
04/02/2004,29.024
05/02/2004,29.293
06/02/2004,29.500
09/02/2004,29.657
10/02/2004,29.507
11/02/2004,29.371
12/02/2004,29.238
13/02/2004,29.129
16/02/2004,29.046
17/02/2004,28.793
18/02/2004,28.613
19/02/2004,28.557
20/02/2004,28.469
23/02/2004,28.480
24/02/2004,28.411
25/02/2004,28.429
26/02/2004,28.645
27/02/2004,28.835
01/03/2004,29.090
02/03/2004,29.255
03/03/2004,29.413
04/03/2004,29.674
05/03/2004,29.900
08/03/2004,30.023
09/03/2004,29.961
10/03/2004,29.813
11/03/2004,29.744
12/03/2004,29.619
15/03/2004,29.514
16/03/2004,29.423
17/03/2004,29.214
18/03/2004,29.014
19/03/2004,28.904
22/03/2004,28.844
23/03/2004,28.715
24/03/2004,28.604
25/03/2004,28.567
26/03/2004,28.641
29/03/2004,28.816
