Dates,Inflation
8/02/1943,-0.6
31/03/1943,1.6
30/04/1943,0.7
31/05/1943,-0.9
30/06/1943,0.1
31/07/1943,-5.6
31/08/1943,1.0
30/09/1943,-0.9
31/10/1943,1.0
30/11/1943,0.0
31/12/1943,-0.3
31/01/1944,0.7
29/02/1944,0.2
31/03/1944,0.6
30/04/1944,-1.1
31/05/1944,-0.4
30/06/1944,1.8
31/07/1944,-0.1
31/08/1944,1.4
30/09/1944,-0.2
31/10/1944,0.7
30/11/1944,0.0
31/12/1944,0.2
31/01/1945,7.8
28/02/1945,1.9
31/03/1945,7.5
30/04/1945,0.1
31/05/1945,0.3
30/06/1945,0.1
31/07/1945,1.2
31/08/1945,-0.9
30/09/1945,0.6
31/10/1945,0.1
30/11/1945,0.2
31/12/1945,2.2
31/01/1946,7.0
28/02/1946,0.2
31/03/1946,2.9
30/04/1946,1.7
31/05/1946,-0.3
30/06/1946,1.7
31/07/1946,0.2
31/08/1946,-0.7
30/09/1946,0.1
31/10/1946,2.5
30/11/1946,0.4
31/12/1946,1.7
31/01/1947,-0.9
28/02/1947,0.7
31/03/1947,6.1
30/04/1947,0.1
31/05/1947,0.1
30/06/1947,4.7
31/07/1947,-1.1
31/08/1947,0.9
30/09/1947,0.1
31/10/1947,-0.5
30/11/1947,0.9
31/12/1947,3.2
31/01/1948,-1.6
29/02/1948,-0.3
31/03/1948,1.8
30/04/1948,0.6
31/05/1948,2.5
30/06/1948,2.9
31/07/1948,-0.2
31/08/1948,2.1
30/09/1948,4.1
31/10/1948,0.3
30/11/1948,0.2
31/12/1948,5.3
31/01/1949,0.5
28/02/1949,-0.3
31/03/1949,6.8
30/04/1949,4.9
31/05/1949,2.9
30/06/1949,1.2
31/07/1949,1.9
31/08/1949,1.7
30/09/1949,1.6
31/10/1949,2.7
30/11/1949,3.2
31/12/1949,2.4
31/01/1950,-1.8
28/02/1950,2.6
31/03/1950,0.0
30/04/1950,2.2
31/05/1950,4.8
30/06/1950,2.9
31/07/1950,0.0
31/08/1950,0.2
30/09/1950,4.0
31/10/1950,3.8
30/11/1950,-0.2
31/12/1950,2.0
31/01/1951,-1.0
28/02/1951,2.9
31/03/1951,0.3
30/04/1951,9.0
31/05/1951,7.5
30/06/1951,3.3
31/07/1951,0.8
31/08/1951,9.3
30/09/1951,-1.9
31/10/1951,3.0
30/11/1951,0.3
31/12/1951,8.7
31/01/1952,3.9
29/02/1952,0.7
31/03/1952,2.9
30/04/1952,6.2
31/05/1952,1.6
30/06/1952,2.1
31/07/1952,-4.1
31/08/1952,-0.4
30/09/1952,3.4
31/10/1952,1.0
30/11/1952,0.3
31/12/1952,0.4
31/01/1953,-1.3
28/02/1953,5.8
31/03/1953,-0.5
