Fecha,Total,"Al Sector
 Privado y Otros",Al Tesoro Nacional,Adelantos Transitorios,Transferencia de Utilidades ,Resto,Pases,LELIQ,Redescuentos y Adelantos,"Intereses, Primas y Remun. Ctas. Ctes.",LEBAC y NOBAC,Rescate de Cuasimonedas,Otros,"Billetes y Monedas en Poder del Público
(1)","Billetes y Monedas en Entidades
(2)","Cheques Cancelatorios
(3)","Base Monetaria	Cuenta 
Corriente 
en el BCRA 
(4)","Base Monetaria más cuasimonedas        
Cuasimonedas Total
(5) = (1+2+3+4)","Base Monetaria más cuasimonedas        
Cuasimonedas
(6)","Base Monetaria más cuasimonedas	Total 
(7) = (5+6)","Billetes y Monedas en Poder del Público
(8)","Billetes y Monedas en Entidades
(9)","Cheques Cancelatorios
(10)","Cuenta Corriente 
en el BCRA
(11)",Saldo diario total,"Cuasimonedas
(13)","Total 
(14) = (12+13)"
2-Jan-03,151,98.8,0,0,0,-6,30,0,-28,-50,84,0,22,-5,104,0,52,151,0,151,"16,444","2,457",0,"10,401","29,302","7,814","37,116"
3-Jan-03,58,207,0,0,0,-2,0,0,0,0,-148,0,1,47,-41,0,52,58,0,58,"16,491","2,416",0,"10,453","29,360","7,814","37,174"
6-Jan-03,164,172,0,0,0,-8,0,0,0,1,0,0,-1,23,7,0,133,164,0,164,"16,514","2,423",0,"10,586","29,524","7,814","37,338"
7-Jan-03,343,339,0,0,0,-5,0,0,0,11,0,0,-2,39,-6,0,310,343,0,343,"16,554","2,417",0,"10,896","29,867","7,814","37,681"
8-Jan-03,91,151,0,0,0,-9,1,0,0,0,-53,0,1,43,-59,0,106,91,0,91,"16,597","2,358",0,"11,003","29,958","7,814","37,772"
9-Jan-03,31,26,-476,0,476,-1,0,0,0,0,0,0,5,18,35,0,-23,31,0,31,"16,615","2,393",0,"10,980","29,988","7,814","37,802"
10-Jan-03,-309,-25,0,0,0,-7,0,0,0,0,-254,0,-22,2,-3,0,-308,-309,0,-309,"16,618","2,390",0,"10,672","29,680","7,814","37,494"
13-Jan-03,98,86,0,0,0,-7,0,0,0,1,0,0,18,-78,55,0,121,98,0,98,"16,540","2,445",0,"10,793","29,778","7,814","37,592"
14-Jan-03,111,122,-53,53,0,-10,0,0,0,0,0,0,-1,-54,-35,0,200,111,0,111,"16,486","2,410",0,"10,993","29,889","7,814","37,703"
15-Jan-03,-8,113,0,0,0,-3,0,0,0,4,-121,0,0,-48,-60,0,101,-8,0,-8,"16,438","2,350",0,"11,093","29,881","7,814","37,695"
16-Jan-03,35,52,0,0,0,-16,0,0,-1,0,0,0,0,-40,-1,0,76,35,0,35,"16,398","2,349",0,"11,169","29,917","7,814","37,731"
17-Jan-03,-576,48,0,0,0,-497,0,0,0,1,-129,0,1,9,-34,0,-550,-576,0,-576,"16,407","2,315",0,"10,619","29,341","7,814","37,155"
20-Jan-03,51,-3,0,0,0,52,1,0,0,1,0,0,0,-45,39,0,57,51,0,51,"16,362","2,354",0,"10,676","29,392","7,814","37,206"
21-Jan-03,203,161,0,0,0,7,35,0,0,0,0,0,-1,-9,-53,0,265,203,0,203,"16,353","2,301",0,"10,940","29,594","7,814","37,408"
22-Jan-03,-21,39,0,0,0,-84,-1,0,0,0,-48,0,72,10,-36,0,5,-21,0,-21,"16,363","2,265",0,"10,945","29,573","7,814","37,387"
23-Jan-03,38,31,"-3,617","3,617",0,4,0,0,-3,6,0,0,0,-46,9,0,75,38,0,38,"16,318","2,274",0,"11,020","29,611","7,814","37,425"
24-Jan-03,21,58,0,0,0,0,-1,0,0,3,-39,0,1,-52,-8,0,81,21,0,21,"16,266","2,266",0,"11,100","29,632","7,814","37,446"
27-Jan-03,-31,-28,0,0,0,-6,0,0,0,1,0,0,1,-96,43,0,22,-31,0,-31,"16,170","2,309",0,"11,122","29,601","7,814","37,415"
28-Jan-03,12,11,0,0,0,2,2,0,-3,0,0,0,1,-84,-5,0,101,12,0,12,"16,085","2,304",0,"11,223","29,613","7,814","37,427"
29-Jan-03,21,-1,0,0,0,2,1,0,0,0,15,0,4,-20,29,0,12,21,0,21,"16,065","2,333",0,"11,236","29,634","7,814","37,448"
30-Jan-03,13,22,0,0,0,3,0,0,-9,0,0,0,-3,10,51,0,-48,13,0,13,"16,075","2,384",0,"11,187","29,646","7,814","37,460"
31-Jan-03,-155,23,0,0,0,-69,0,0,3,-104,-72,0,65,99,25,0,-279,-155,0,-155,"16,175","2,409",0,"10,908","29,492","7,814","37,306"
3-Feb-03,-325,33,-120,120,0,-355,0,0,0,1,0,0,-3,85,-64,0,-346,-325,0,-325,"16,260","2,345",0,"10,562","29,167","7,814","36,981"
4-Feb-03,50,55,0,0,0,-7,0,0,0,0,0,0,2,53,30,0,-34,50,0,50,"16,313","2,375",0,"10,528","29,217","7,814","37,031"
5-Feb-03,-30,44,0,0,0,-8,0,0,0,0,-62,0,-5,96,-54,0,-73,-30,0,-30,"16,410","2,321",0,"10,455","29,186","7,814","37,000"
