Dates,Monetary Base
30/01/2003,29.646
31/01/2003,29.492
03/02/2003,29.167
04/02/2003,29.217
05/02/2003,29.186
06/02/2003,29.214
07/02/2003,29.188
10/02/2003,28.749
11/02/2003,28.808
12/02/2003,28.922
13/02/2003,28.965
14/02/2003,29.027
17/02/2003,29.024
18/02/2003,29.083
19/02/2003,29.165
20/02/2003,29.976
21/02/2003,30.027
24/02/2003,30.051
25/02/2003,30.128
26/02/2003,30.117
27/02/2003,30.127
28/02/2003,30.164
03/03/2003,30.206
04/03/2003,30.246
05/03/2003,30.210
06/03/2003,30.229
07/03/2003,30.184
10/03/2003,30.255
11/03/2003,30.236
12/03/2003,30.337
13/03/2003,30.321
14/03/2003,30.301
17/03/2003,30.354
18/03/2003,30.366
19/03/2003,30.407
20/03/2003,30.469
21/03/2003,30.498
24/03/2003,30.572
25/03/2003,30.599
26/03/2003,30.612
27/03/2003,30.663
28/03/2003,30.667
01/04/2003,30.673
02/04/2003,30.662
03/04/2003,30.776
04/04/2003,30.704
07/04/2003,30.734
08/04/2003,30.742
09/04/2003,30.840
10/04/2003,30.900
11/04/2003,30.850
14/04/2003,30.863
15/04/2003,30.866
16/04/2003,30.852
21/04/2003,30.874
22/04/2003,31.055
23/04/2003,31.013
24/04/2003,31.041
25/04/2003,30.887
28/04/2003,30.952
29/04/2003,31.078
30/04/2003,31.475
02/05/2003,31.706
05/05/2003,31.903
06/05/2003,32.052
07/05/2003,31.977
08/05/2003,32.367
09/05/2003,32.860
12/05/2003,33.021
13/05/2003,33.266
14/05/2003,33.161
15/05/2003,33.222
16/05/2003,33.373
19/05/2003,33.431
20/05/2003,33.672
21/05/2003,33.831
22/05/2003,33.920
23/05/2003,33.740
26/05/2003,33.749
27/05/2003,33.895
28/05/2003,33.806
29/05/2003,34.177
30/05/2003,34.149
02/06/2003,34.294
03/06/2003,34.502
04/06/2003,34.599
05/06/2003,34.708
06/06/2003,34.848
09/06/2003,35.114
10/06/2003,35.370
11/06/2003,35.265
12/06/2003,35.715
13/06/2003,36.243
17/06/2003,36.548
18/06/2003,36.766
19/06/2003,36.804
20/06/2003,36.972
23/06/2003,37.270
24/06/2003,37.551
25/06/2003,37.453
26/06/2003,37.725
27/06/2003,37.622
30/06/2003,37.674
01/07/2003,37.918
02/07/2003,37.765
03/07/2003,37.944
04/07/2003,37.799
07/07/2003,37.974
08/07/2003,38.113
10/07/2003,38.011
11/07/2003,37.889
14/07/2003,37.987
15/07/2003,38.180
16/07/2003,37.961
17/07/2003,37.673
18/07/2003,37.678
21/07/2003,37.832
22/07/2003,37.957
23/07/2003,37.834
24/07/2003,38.034
25/07/2003,38.054
28/07/2003,38.161
29/07/2003,38.461
30/07/2003,38.531
31/07/2003,38.573
01/08/2003,38.701
04/08/2003,38.259
05/08/2003,38.282
06/08/2003,38.183
07/08/2003,38.198
08/08/2003,38.170
11/08/2003,38.394
12/08/2003,38.479
13/08/2003,38.956
14/08/2003,39.024
15/08/2003,39.007
19/08/2003,39.328
20/08/2003,39.352
21/08/2003,39.427
22/08/2003,39.352
25/08/2003,39.386
26/08/2003,39.576
27/08/2003,39.592
28/08/2003,39.629
29/08/2003,39.813
01/09/2003,39.922
02/09/2003,39.966
03/09/2003,39.947
04/09/2003,39.929
05/09/2003,39.958
08/09/2003,39.996
09/09/2003,40.102
10/09/2003,40.072
11/09/2003,39.413
12/09/2003,39.359
15/09/2003,39.409
16/09/2003,39.426
17/09/2003,39.398
18/09/2003,39.490
19/09/2003,39.669
22/09/2003,39.678
23/09/2003,39.704
24/09/2003,39.659
25/09/2003,39.718
26/09/2003,39.598
29/09/2003,39.724
30/09/2003,40.477
01/10/2003,41.019
02/10/2003,40.994
03/10/2003,41.038
06/10/2003,41.049
07/10/2003,41.144
08/10/2003,41.259
09/10/2003,41.364
10/10/2003,41.436
14/10/2003,41.337
15/10/2003,41.488
16/10/2003,41.576
17/10/2003,41.653
20/10/2003,41.864
21/10/2003,41.974
22/10/2003,42.073
23/10/2003,42.201
24/10/2003,42.313
27/10/2003,42.434
28/10/2003,42.605
29/10/2003,42.702
30/10/2003,42.829
31/10/2003,42.946
03/11/2003,42.928
04/11/2003,42.958
05/11/2003,43.007
07/11/2003,43.044
10/11/2003,43.164
11/11/2003,43.174
12/11/2003,43.277
13/11/2003,43.357
14/11/2003,43.404
17/11/2003,43.537
18/11/2003,43.614
19/11/2003,43.738
20/11/2003,43.828
21/11/2003,43.861
24/11/2003,43.933
25/11/2003,44.026
26/11/2003,44.050
27/11/2003,44.057
28/11/2003,44.157
01/12/2003,44.265
02/12/2003,44.305
03/12/2003,44.360
04/12/2003,44.432
05/12/2003,44.549
09/12/2003,44.680
10/12/2003,44.685
11/12/2003,44.725
12/12/2003,44.948
15/12/2003,45.035
16/12/2003,45.105
17/12/2003,45.313
18/12/2003,45.441
19/12/2003,45.618
22/12/2003,45.738
23/12/2003,46.411
24/12/2003,46.406
26/12/2003,46.608
29/12/2003,46.754
30/12/2003,46.564
31/12/2003,46.391
02/01/2004,46.747
05/01/2004,46.758
06/01/2004,46.874
07/01/2004,46.755
08/01/2004,46.869
09/01/2004,46.974
12/01/2004,47.053
13/01/2004,46.920
14/01/2004,46.902
15/01/2004,47.066
16/01/2004,47.158
19/01/2004,47.219
20/01/2004,47.278
21/01/2004,47.103
22/01/2004,46.924
23/01/2004,47.080
26/01/2004,47.140
27/01/2004,47.194
28/01/2004,46.901
29/01/2004,46.936
30/01/2004,46.994
02/02/2004,47.035
03/02/2004,47.359
