ID,Region,Territory,"Pricing, Delivery_Terms_Quote_Appr","Pricing, Delivery_Terms_Approved",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Submitted_for_Approval,Bureaucratic_Code,Account_Created_Date,Source ,Billing_Country,Account_Name,Opportunity_Name,Opportunity_ID,Sales_Contract_No,Account_Owner,Opportunity_Owner,Account_Type,Opportunity_Type,Quote_Type,Delivery_Terms,Opportunity_Created_Date,Brand,Product_Type,Size,Product_Category_B,Price,Currency,Last_Activity,Quote_Expiry_Date,Last_Modified_Date,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted)_Currency,ASP_(converted),Planned_Delivery_Start_Date,Planned_Delivery_End_Date,Month,Delivery_Quarter,Delivery_Year,Actual_Delivery_Date,TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount_Currency,Total_Taxable_Amount,Prod_Category_A
6140,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6118,10689,6436,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/12/2019,Person_Name_13,Product_Family_171,Product_Name_332,EUR,0.325,USD,0.36761,5/1/2019,5/31/2019,2019 - 5,Q2,2019,NaT,0,EUR,162240,EUR,367419,Prod_Category_A_None
6146,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6118,10689,6436,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/12/2019,Person_Name_13,Product_Family_167,Product_Name_315,EUR,0.32,USD,0.36195,5/1/2019,5/31/2019,2019 - 5,Q2,2019,NaT,0,EUR,78624,EUR,367419,Prod_Category_A_None
6151,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6118,10689,6436,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/12/2019,Person_Name_13,Product_Family_140,Product_Name_241,EUR,0.275,USD,0.31105,5/1/2019,5/31/2019,2019 - 5,Q2,2019,NaT,0,EUR,126555,EUR,367419,Prod_Category_A_None
6118,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6117,10690,6504,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/25/2019,Person_Name_13,Product_Family_171,Product_Name_328,EUR,0.325,USD,0.36761,6/1/2019,6/28/2019,2019 - 6,Q2,2019,NaT,1,EUR,243360,EUR,757783.5,Prod_Category_A_None
6124,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6117,10690,6504,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/25/2019,Person_Name_13,Product_Family_167,Product_Name_315,EUR,0.32,USD,0.36195,6/1/2019,6/29/2019,2019 - 6,Q2,2019,NaT,0,EUR,157248,EUR,757783.5,Prod_Category_A_None
6129,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6117,10690,6504,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/25/2019,Person_Name_13,Product_Family_140,Product_Name_241,EUR,0.275,USD,0.31105,6/1/2019,6/29/2019,2019 - 6,Q2,2019,NaT,0,EUR,126555,EUR,757783.5,Prod_Category_A_None
6135,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6117,10690,6504,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/25/2019,Person_Name_13,Product_Family_156,Product_Name_281,EUR,0.385,USD,0.43547,6/1/2019,6/28/2019,2019 - 6,Q2,2019,NaT,0,EUR,118156.5,EUR,757783.5,Prod_Category_A_None
6218,EMEA,Germany,1,1,1,1,0,Bureaucratic_Code_4,7/5/2017,Source_7,Germany,Account_Name_978,Opportunity_Name_6117,10690,6504,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,4/12/2019,None,None,None,None,None,None,NaT,4/30/2019,4/25/2019,Person_Name_13,Product_Family_168,Product_Name_322,EUR,0.355,USD,0.40154,6/1/2019,6/28/2019,2019 - 6,Q2,2019,NaT,0,EUR,112464,EUR,757783.5,Prod_Category_A_None
11530,Americas,NE America,1,1,0,0,0,Bureaucratic_Code_4,2/16/2019,Source_9,United States,Account_Name_143,Opportunity_Name_385,10691,6452,Person_Name_9,Person_Name_9,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_9,Product_Family_223,Product_Name_484,USD,0.425,USD,0.425,10/1/2019,10/1/2019,2019 - 10,Q4,2019,NaT,0,USD,21037.5,USD,21037.5,Prod_Category_A_None
20314,Americas,NW America,1,1,1,0,0,Bureaucratic_Code_2,7/27/2013,Source_11,United States,Account_Name_25,Opportunity_Name_8423,10692,6441,Person_Name_8,Person_Name_8,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_8,Product_Family_221,Product_Name_473,USD,0.425,USD,0.425,12/10/2019,12/10/2019,2019 - 12,Q4,2019,NaT,1,USD,342490.5,USD,2169106.5,Prod_Category_A_None
20317,Americas,NW America,1,1,1,0,0,Bureaucratic_Code_2,7/27/2013,Source_11,United States,Account_Name_25,Opportunity_Name_8423,10692,6441,Person_Name_8,Person_Name_8,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_8,Product_Family_221,Product_Name_473,USD,0.425,USD,0.425,12/9/2019,12/9/2019,2019 - 12,Q4,2019,NaT,1,USD,342490.5,USD,2169106.5,Prod_Category_A_None
20320,Americas,NW America,1,1,1,0,0,Bureaucratic_Code_2,7/27/2013,Source_11,United States,Account_Name_25,Opportunity_Name_8423,10692,6441,Person_Name_8,Person_Name_8,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_8,Product_Family_221,Product_Name_473,USD,0.425,USD,0.425,12/4/2019,12/4/2019,2019 - 12,Q4,2019,NaT,1,USD,342490.5,USD,2169106.5,Prod_Category_A_None
20324,Americas,NW America,1,1,1,0,0,Bureaucratic_Code_2,7/27/2013,Source_11,United States,Account_Name_25,Opportunity_Name_8423,10692,6441,Person_Name_8,Person_Name_8,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_8,Product_Family_221,Product_Name_473,USD,0.425,USD,0.425,12/3/2019,12/3/2019,2019 - 12,Q4,2019,NaT,1,USD,456654,USD,2169106.5,Prod_Category_A_None
20327,Americas,NW America,1,1,1,0,0,Bureaucratic_Code_2,7/27/2013,Source_11,United States,Account_Name_25,Opportunity_Name_8423,10692,6441,Person_Name_8,Person_Name_8,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_8,Product_Family_221,Product_Name_473,USD,0.425,USD,0.425,12/2/2019,12/2/2019,2019 - 12,Q4,2019,NaT,1,USD,456654,USD,2169106.5,Prod_Category_A_None
21110,Americas,NW America,1,1,1,0,0,Bureaucratic_Code_2,7/27/2013,Source_11,United States,Account_Name_25,Opportunity_Name_8423,10692,6441,Person_Name_8,Person_Name_8,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_4,4/12/2019,None,None,None,None,None,None,NaT,NaT,4/16/2019,Person_Name_8,Product_Family_221,Product_Name_473,USD,0.425,USD,0.425,12/16/2019,12/16/2019,2019 - 12,Q4,2019,NaT,1,USD,228327,USD,2169106.5,Prod_Category_A_None
