underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
BFR,19.66,BFR160115C00002500,call,01/15/2016,12/30/2015,2.5,0.0,14.8,18.0,0,0,0.0,10.5052,0.9940000000000001,0.0
BFR,19.66,BFR160115P00002500,put,01/15/2016,12/30/2015,2.5,0.0,0.0,0.55,0,0,0.0,8.4838,-0.0047,0.0007
BFR,19.66,BFR160115C00005000,call,01/15/2016,12/30/2015,5.0,0.0,12.3,15.8,0,0,0.0,7.3754,0.9940000000000001,0.0
BFR,19.66,BFR160115P00005000,put,01/15/2016,12/30/2015,5.0,0.0,0.0,0.55,0,0,0.0,5.4968,-0.0296,0.0035
BFR,19.66,BFR160115C00007500,call,01/15/2016,12/30/2015,7.5,0.0,11.1,13.1,0,0,0.0,4.9636,0.9940000000000001,0.0
BFR,19.66,BFR160115P00007500,put,01/15/2016,12/30/2015,7.5,0.0,0.0,0.55,0,0,0.0,3.9747,-0.0506,0.0069
BFR,19.66,BFR160115C00010000,call,01/15/2016,12/30/2015,10.0,0.0,7.3,11.7,0,0,0.0,5.1225,0.9939,0.0
BFR,19.66,BFR160115P00010000,put,01/15/2016,12/30/2015,10.0,0.0,0.0,0.55,0,0,0.0,2.944,-0.0733,0.0122
BFR,19.66,BFR160115C00012500,call,01/15/2016,12/30/2015,12.5,3.1,6.2,7.6,0,48,0.0,2.1591,0.9935,0.0006
BFR,19.66,BFR160115P00012500,put,01/15/2016,12/30/2015,12.5,0.1,0.0,0.25,0,335,0.0,1.6921,-0.1009,0.0213
BFR,19.66,BFR160115C00015000,call,01/15/2016,12/30/2015,15.0,1.9,3.7,5.1,0,202,0.0,1.492,0.9701,0.0206
BFR,19.66,BFR160115P00015000,put,01/15/2016,12/30/2015,15.0,0.3,0.0,0.35,0,262,0.0,1.2609,-0.1448,0.0397
BFR,19.66,BFR160115C00017500,call,01/15/2016,12/30/2015,17.5,5.0,1.95,2.95,0,73,0.0,1.1529,0.8019,0.0999
BFR,19.66,BFR160115P00017500,put,01/15/2016,12/30/2015,17.5,0.7,0.05,0.85,0,69,0.379,1.1117,-0.2106,0.0959
BFR,19.66,BFR160115C00020000,call,01/15/2016,12/30/2015,20.0,0.8,0.25,1.05,0,186,0.2725,0.7829999999999999,0.4344,0.1841
BFR,19.66,BFR160115P00020000,put,01/15/2016,12/30/2015,20.0,0.85,0.85,1.6,0,110,0.3685,0.843,-0.5457,0.1612
BFR,19.66,BFR160115C00022500,call,01/15/2016,12/30/2015,22.5,0.15,0.0,0.25,0,404,0.0,0.6911,0.2286,0.0899
BFR,19.66,BFR160115P00022500,put,01/15/2016,12/30/2015,22.5,3.0,2.4,5.6,0,7,0.0,2.3231,-0.8529,0.0915
BFR,19.66,BFR160115C00025000,call,01/15/2016,12/30/2015,25.0,0.3,0.0,0.3,0,238,0.0,1.0522,0.1252,0.0529
BFR,19.66,BFR160115P00025000,put,01/15/2016,12/30/2015,25.0,0.0,3.6,7.8,0,0,0.0,2.5482,-0.9667,0.0257
BFR,19.66,BFR160115C00030000,call,01/15/2016,12/30/2015,30.0,0.55,0.0,0.6,0,174,0.0,1.8633,0.0192,0.012
BFR,19.66,BFR160115P00030000,put,01/15/2016,12/30/2015,30.0,0.0,9.0,11.5,0,0,0.0,2.252,-0.9936,0.0005
BFR,19.66,BFR160115C00035000,call,01/15/2016,12/30/2015,35.0,0.0,0.0,0.6,0,0,0.0,2.2685,0.0022,0.0018
BFR,19.66,BFR160115P00035000,put,01/15/2016,12/30/2015,35.0,0.0,14.2,16.7,0,0,0.0,2.8533,-0.9939,0.0
BFR,19.66,BFR160219C00002500,call,02/19/2016,12/30/2015,2.5,0.0,15.8,18.4,0,0,0.0,7.1159,0.9909,0.0
BFR,19.66,BFR160219P00002500,put,02/19/2016,12/30/2015,2.5,0.0,0.0,0.6,0,0,0.0,4.8211,-0.0063,0.0009
BFR,19.66,BFR160219C00005000,call,02/19/2016,12/30/2015,5.0,0.0,12.3,15.9,0,0,0.0,4.2813,0.9909,0.0
BFR,19.66,BFR160219P00005000,put,02/19/2016,12/30/2015,5.0,0.0,0.0,0.6,0,0,0.0,3.1132,-0.0336,0.0036
BFR,19.66,BFR160219C00010000,call,02/19/2016,12/30/2015,10.0,0.0,8.6,10.7,0,0,0.0,2.1601,0.9826,0.0039
BFR,19.66,BFR160219P00010000,put,02/19/2016,12/30/2015,10.0,0.0,0.0,0.65,0,0,0.0,1.7123,-0.0746,0.0123
BFR,19.66,BFR160219C00012500,call,02/19/2016,12/30/2015,12.5,0.0,6.1,8.3,0,0,0.0,1.6714,0.941,0.0176
BFR,19.66,BFR160219P00012500,put,02/19/2016,12/30/2015,12.5,0.0,0.0,0.55,0,0,0.0,1.1832,-0.0982,0.0214
BFR,19.66,BFR160219C00015000,call,02/19/2016,12/30/2015,15.0,0.0,3.1,5.7,0,0,0.0,1.1592,0.8895,0.0396
BFR,19.66,BFR160219P00015000,put,02/19/2016,12/30/2015,15.0,0.0,0.05,0.75,0,0,0.4185,0.9272,-0.1191,0.0404
BFR,19.66,BFR160219C00017500,call,02/19/2016,12/30/2015,17.5,0.0,1.65,3.6,0,0,0.0,0.9093,0.7455,0.0871
