symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KO,2000-01-03,16.7055294037,17.2252569852,16.4085422143,17.0203358245,10997000,56.25,0.0,58.0,55.25,57.31,1.0,5498500
KO,2000-01-04,16.7619569697,16.8718422298,16.5213973463,16.557035809,7308000,56.44,0.0,56.81,55.63,55.75,1.0,3654000
KO,2000-01-05,16.9460890272,17.0589441591,16.6491018378,16.7619569697,9457400,57.06,0.0,57.44,56.06,56.44,1.0,4728700
KO,2000-01-06,16.9282697958,17.1331909565,16.7975954325,16.9460890272,7129200,57.0,0.0,57.69,56.56,57.06,1.0,3564600
KO,2000-01-07,18.041971756,18.041971756,17.1896185225,17.3737505799,11474000,60.75,0.0,60.75,57.88,58.5,1.0,5737000
KO,2000-01-10,17.4658166086,18.098399322,17.4479973772,17.9677249587,8723800,58.81,0.0,60.94,58.75,60.5,1.0,4361900
KO,2000-01-11,18.0597909874,18.1904653507,17.8578396986,18.098399322,9398000,60.81,0.0,61.25,60.13,60.94,1.0,4699000
KO,2000-01-12,18.2647121481,18.3567781768,17.9499057273,18.0597909874,8389800,61.5,0.0,61.81,60.44,60.81,1.0,4194900
KO,2000-01-13,17.9855441901,18.2468929167,17.9499057273,18.2468929167,6106000,60.56,0.0,61.44,60.44,61.44,1.0,3053000
KO,2000-01-14,18.1340377848,18.3953865114,18.0241525247,18.3953865114,7513200,61.06,0.0,61.94,60.69,61.94,1.0,3756600
KO,2000-01-18,19.304167311,19.304167311,18.1340377848,18.2082845821,18350800,65.0,0.0,65.0,61.06,61.31,1.0,9175400
KO,2000-01-19,19.3784141083,19.3784141083,18.9329333242,19.304167311,12813400,65.25,0.0,65.25,63.75,65.0,1.0,6406700
KO,2000-01-20,19.5655160377,19.583335269,19.3427756456,19.3962333397,11539800,65.88,0.0,65.94,65.13,65.31,1.0,5769900
KO,2000-01-21,19.8625032271,19.8625032271,19.526907703,19.8238948924,11385800,66.88,0.0,66.88,65.75,66.75,1.0,5692900
KO,2000-01-24,19.2685288483,19.8238948924,18.8765057583,19.6011545004,11306000,64.88,0.0,66.75,63.56,66.0,1.0,5653000
KO,2000-01-25,19.5655160377,19.6189737318,18.6745544695,19.0071801216,9718600,65.88,0.0,66.06,62.88,64.0,1.0,4859300
KO,2000-01-26,18.7280121636,19.4526609057,18.6359461348,19.0814269189,23723800,63.06,0.0,65.5,62.75,64.25,1.0,11861900
KO,2000-01-27,17.6707377693,18.6181269035,17.3559313485,18.6003076721,17550800,59.5,0.0,62.69,58.44,62.63,1.0,8775400
KO,2000-01-28,16.9104505644,17.6885570007,16.9104505644,17.6529185379,10875200,56.94,0.0,59.56,56.94,59.44,1.0,5437600
KO,2000-01-31,17.0589441591,17.4479973772,16.7975954325,16.9460890272,10734600,57.44,0.0,58.75,56.56,57.06,1.0,5367300
KO,2000-02-01,17.2638653198,17.3381121172,16.7233486351,17.1510101878,8114600,58.13,0.0,58.38,56.31,57.75,1.0,4057300
KO,2000-02-02,16.7441377384,17.1896185225,16.7441377384,17.0945826219,7164000,56.38,0.0,57.88,56.38,57.56,1.0,3582000
KO,2000-02-03,16.4085422143,16.8540229984,16.3521146484,16.7797762011,9464400,55.25,0.0,56.75,55.06,56.5,1.0,4732200
KO,2000-02-04,16.7055294037,17.1510101878,16.4085422143,16.4085422143,11501800,56.25,0.0,57.75,55.25,55.25,1.0,5750900
KO,2000-02-07,16.8926313331,17.1153717251,16.5006082431,16.6491018378,7742800,56.88,0.0,57.63,55.56,56.06,1.0,3871400
KO,2000-02-08,16.9846973618,17.1896185225,16.8540229984,17.0589441591,8261200,57.19,0.0,57.88,56.75,57.44,1.0,4130600
KO,2000-02-09,16.9282697958,17.1510101878,16.8540229984,16.9282697958,7948600,57.0,0.0,57.75,56.75,57.0,1.0,3974300
KO,2000-02-10,16.8362037671,17.0411249278,16.7055294037,17.0025165931,8031000,56.69,0.0,57.38,56.25,57.25,1.0,4015500
KO,2000-02-11,16.5006082431,16.613463375,16.2986569543,16.557035809,7688600,55.56,0.0,55.94,54.88,55.75,1.0,3844300
KO,2000-02-14,16.0759165622,16.4085422143,15.9808806616,16.3521146484,7134000,54.13,0.0,55.25,53.81,55.06,1.0,3567000
KO,2000-02-15,16.5392165777,16.557035809,15.8145678355,15.8531761702,7850800,55.69,0.0,55.75,53.25,53.38,1.0,3925400
KO,2000-02-16,15.9066338643,16.4649697803,15.8145678355,16.3521146484,6869200,53.56,0.0,55.44,53.25,55.06,1.0,3434600
KO,2000-02-17,15.5353998775,15.9066338643,15.2027742254,15.8888146329,11661000,52.31,0.0,53.56,51.19,53.5,1.0,5830500
KO,2000-02-18,15.2592017914,15.5353998775,15.072099862,15.2948402541,11443400,51.38,0.0,52.31,50.75,51.5,1.0,5721700
KO,2000-02-22,15.3690870514,15.6304357781,14.9978530647,15.0899190934,10543000,51.75,0.0,52.63,50.5,50.81,1.0,5271500
KO,2000-02-23,15.2205934567,15.2770210227,14.84935947,15.2592017914,11021600,51.25,0.0,51.44,50.0,51.38,1.0,5510800
KO,2000-02-24,14.792931904,14.9978530647,14.3474511199,14.962214602,15451600,49.81,0.0,50.5,48.31,50.38,1.0,7725800
KO,2000-02-25,14.4603062519,15.0542806307,14.2732043226,14.7751126726,10905200,48.69,0.0,50.69,48.06,49.75,1.0,5452600
KO,2000-02-28,14.6444383093,14.7572934413,14.1247107279,14.2732043226,10790800,49.31,0.0,49.69,47.56,48.06,1.0,5395400
KO,2000-02-29,14.4424870205,14.4959447146,14.1454998311,14.2939934258,10346200,48.63,0.0,48.81,47.63,48.13,1.0,5173100
KO,2000-03-01,15.1463466594,15.2592017914,14.6087998466,14.6087998466,15612200,51.0,0.0,51.38,49.19,49.19,1.0,7806100
KO,2000-03-02,14.7394742099,15.3869062828,14.6652274126,15.2027742254,11358600,49.63,0.0,51.81,49.38,51.19,1.0,5679300
KO,2000-03-03,14.8879678046,14.962214602,14.570191512,14.8879678046,9010600,50.13,0.0,50.38,49.06,50.13,1.0,4505300
KO,2000-03-06,14.5523722806,14.7008658753,14.3474511199,14.6087998466,7866000,49.0,0.0,49.5,48.31,49.19,1.0,3933000
KO,2000-03-07,13.9970062364,14.5523722806,13.307995957,14.3682402232,23440200,47.13,0.0,49.0,44.81,48.38,1.0,11720100
KO,2000-03-08,14.1068914965,14.2732043226,13.6257722497,13.8485126417,14441600,47.5,0.0,48.06,45.88,46.63,1.0,7220800
KO,2000-03-09,13.8841511044,14.1247107279,13.6257722497,14.1247107279,12389400,46.75,0.0,47.56,45.88,47.56,1.0,6194700
KO,2000-03-10,13.5129171177,13.8485126417,13.085255565,13.6792299438,14059200,45.5,0.0,46.63,44.06,46.06,1.0,7029600
KO,2000-03-13,13.0436773584,13.2106364286,12.8588298164,12.8946067601,15646400,43.75,0.17,44.31,43.13,43.25,1.0,7823200
KO,2000-03-14,12.9124952319,13.2106364286,12.7842945173,13.2106364286,11162000,43.31,0.0,44.31,42.88,44.31,1.0,5581000
KO,2000-03-15,14.1795953181,14.2541306173,12.9691420593,13.0257888866,22138200,47.56,0.0,47.81,43.5,43.69,1.0,11069100
KO,2000-03-16,14.832524539,14.8712828946,14.4777365149,14.7013424125,17610200,49.75,0.0,49.88,48.56,49.31,1.0,8805100
KO,2000-03-17,14.647676997,14.8891713664,14.5343833423,14.7222122962,14530800,49.13,0.0,49.94,48.75,49.38,1.0,7265400
KO,2000-03-20,14.4777365149,14.6089186415,14.3286659165,14.6089186415,6755200,48.56,0.0,49.0,48.06,49.0,1.0,3377600
KO,2000-03-21,14.740100768,14.8146360672,14.1259299027,14.1259299027,8575800,49.44,0.0,49.69,47.38,47.38,1.0,4287900
KO,2000-03-22,14.0305247197,14.6089186415,13.7711418785,14.6089186415,11884200,47.06,0.0,49.0,46.19,49.0,1.0,5942100
KO,2000-03-23,14.0126362479,14.4240710995,13.8456771777,14.0126362479,10333800,47.0,0.0,48.38,46.44,47.0,1.0,5166900
KO,2000-03-24,14.0126362479,14.0692830753,13.8277887059,14.0126362479,8769200,47.0,0.0,47.19,46.38,47.0,1.0,4384600
KO,2000-03-27,13.4908891536,14.0513946035,13.4908891536,13.9559894205,10535400,45.25,0.0,47.13,45.25,46.81,1.0,5267700
KO,2000-03-28,13.3805769108,13.8635656495,13.3805769108,13.639959752,13673000,44.88,0.0,46.5,44.88,45.75,1.0,6836500
KO,2000-03-29,13.9768593043,14.0305247197,13.5087776254,13.5296475092,16292600,46.88,0.0,47.06,45.31,45.38,1.0,8146300
KO,2000-03-30,14.4777365149,14.8891713664,14.0513946035,14.0513946035,18795200,48.56,0.0,49.94,47.13,47.13,1.0,9397600
KO,2000-03-31,13.9947477761,14.5164948705,13.9947477761,14.5164948705,8857000,46.94,0.0,48.69,46.94,48.69,1.0,4428500
KO,2000-04-03,14.7013424125,14.8891713664,14.0871715471,14.1438183745,14186800,49.31,0.0,49.94,47.25,47.44,1.0,7093400
KO,2000-04-04,15.6166358865,15.6166358865,14.3674242721,14.7579892398,27390200,52.38,0.0,52.38,48.19,49.5,1.0,13695100
KO,2000-04-05,14.2004652019,15.1873125632,14.1259299027,14.9815951374,20256600,47.63,0.0,50.94,47.38,50.25,1.0,10128300
KO,2000-04-06,13.639959752,14.2928889729,13.3418185552,14.2750005011,20675000,45.75,0.0,47.94,44.75,47.88,1.0,10337500
KO,2000-04-07,13.7711418785,13.8456771777,13.3418185552,13.639959752,12374000,46.19,0.0,46.44,44.75,45.75,1.0,6187000
KO,2000-04-10,13.4163538544,14.0692830753,13.3805769108,13.8635656495,12903000,45.0,0.0,47.19,44.88,46.5,1.0,6451500
KO,2000-04-11,14.0692830753,14.2362421455,13.6220712802,13.8456771777,12096400,47.19,0.0,47.75,45.69,46.44,1.0,6048200
KO,2000-04-12,14.4598480431,14.8891713664,14.2183536737,14.3107774447,15586400,48.5,0.0,49.94,47.69,48.0,1.0,7793200
KO,2000-04-13,14.0871715471,14.4986063987,14.0513946035,14.1617068463,8892800,47.25,0.0,48.63,47.13,47.5,1.0,4446400
KO,2000-04-14,14.0126362479,14.1795953181,13.732383523,13.7890303504,9488200,47.0,0.0,47.56,46.06,46.25,1.0,4744100
KO,2000-04-17,14.4598480431,14.4986063987,13.7890303504,13.9381009487,10710200,48.5,0.0,48.63,46.25,46.75,1.0,5355100
KO,2000-04-18,14.4986063987,14.647676997,13.8277887059,14.4032012157,13001000,48.63,0.0,49.13,46.38,48.31,1.0,6500500
KO,2000-04-19,14.6655654688,14.8146360672,14.2928889729,14.4986063987,10073200,49.19,0.0,49.69,47.94,48.63,1.0,5036600
KO,2000-04-20,14.740100768,14.740100768,14.3107774447,14.4598480431,8278600,49.44,0.0,49.44,48.0,48.5,1.0,4139300
KO,2000-04-24,14.7967475954,15.0382419648,14.6089186415,14.740100768,9377600,49.63,0.0,50.44,49.0,49.44,1.0,4688800
KO,2000-04-25,15.0561304366,15.0561304366,14.3674242721,14.7013424125,8711600,50.5,0.0,50.5,48.19,49.31,1.0,4355800
KO,2000-04-26,14.740100768,14.9458181938,14.5731416978,14.6089186415,9536200,49.44,0.0,50.13,48.88,49.0,1.0,4768100
KO,2000-04-27,14.3853127439,14.647676997,14.1438183745,14.4598480431,9023200,48.25,0.0,49.13,47.44,48.5,1.0,4511600
KO,2000-04-28,14.0871715471,14.4240710995,13.9381009487,14.3495358003,7568800,47.25,0.0,48.38,46.75,48.13,1.0,3784400
KO,2000-05-01,13.7890303504,14.0126362479,13.7890303504,13.9023240051,7754000,46.25,0.0,47.0,46.25,46.63,1.0,3877000
KO,2000-05-02,13.7890303504,14.1795953181,13.6966065794,13.8814541214,9209400,46.25,0.0,47.56,45.94,46.56,1.0,4604700
KO,2000-05-03,14.4598480431,14.5522718141,13.7532534067,13.7532534067,14397400,48.5,0.0,48.81,46.13,46.13,1.0,7198700
KO,2000-05-04,14.4598480431,14.6655654688,14.1050600189,14.5343833423,6842400,48.5,0.0,49.19,47.31,48.75,1.0,3421200
KO,2000-05-05,14.0305247197,14.3107774447,13.9381009487,14.1795953181,5999200,47.06,0.0,48.0,46.75,47.56,1.0,2999600
KO,2000-05-08,14.4598480431,14.4598480431,14.2004652019,14.2183536737,6013000,48.5,0.0,48.5,47.63,47.69,1.0,3006500
KO,2000-05-09,15.0561304366,15.2797363342,14.8891713664,14.9070598382,22386000,50.5,0.0,51.25,49.94,50.0,1.0,11193000
KO,2000-05-10,15.7448366011,15.8014834285,15.0561304366,15.0740189084,21062000,52.81,0.0,53.0,50.5,50.56,1.0,10531000
KO,2000-05-11,15.9684424987,16.0429777979,15.8014834285,16.0429777979,15919400,53.56,0.0,53.81,53.0,53.81,1.0,7959700
KO,2000-05-12,15.5778775309,15.8014834285,15.3542716334,15.8014834285,7498200,52.25,0.0,53.0,51.5,53.0,1.0,3749100
KO,2000-05-15,15.4288069326,15.7269481293,15.205201035,15.5033422317,8056600,51.75,0.0,52.75,51.0,52.0,1.0,4028300
KO,2000-05-16,14.5910301697,15.1306657358,14.4986063987,15.1306657358,16476600,48.94,0.0,50.75,48.63,50.75,1.0,8238300
KO,2000-05-17,14.3853127439,14.6655654688,14.3107774447,14.4986063987,8448600,48.25,0.0,49.19,48.0,48.63,1.0,4224300
KO,2000-05-18,14.740100768,14.8712828946,14.3674242721,14.3853127439,8098600,49.44,0.0,49.88,48.19,48.25,1.0,4049300
KO,2000-05-19,14.92494831,14.9994836092,14.6268071133,14.6268071133,10053600,50.06,0.0,50.31,49.06,49.06,1.0,5026800
KO,2000-05-22,15.112777264,15.112777264,14.740100768,14.92494831,9716400,50.69,0.0,50.69,49.44,50.06,1.0,4858200
KO,2000-05-23,14.9070598382,14.9637066656,14.8146360672,14.9070598382,7210000,50.0,0.0,50.19,49.69,50.0,1.0,3605000
KO,2000-05-24,15.7090596575,15.8193719003,14.9637066656,14.9815951374,10788000,52.69,0.0,53.06,50.19,50.25,1.0,5394000
KO,2000-05-25,15.7090596575,15.7835949567,15.5033422317,15.6703013019,7731800,52.69,0.0,52.94,52.0,52.56,1.0,3865900
KO,2000-05-26,16.2665836955,16.397765822,15.8760187277,15.8760187277,12380200,54.56,0.0,55.0,53.25,53.25,1.0,6190100
KO,2000-05-30,16.0638476817,16.397765822,15.8193719003,16.3798773502,7451200,53.88,0.0,55.0,53.06,54.94,1.0,3725600
KO,2000-05-31,15.9147770833,16.0638476817,15.7269481293,15.9684424987,5541000,53.38,0.0,53.88,52.75,53.56,1.0,2770500
KO,2000-06-01,15.8760187277,16.2874535792,15.8193719003,15.8581302559,5993800,53.25,0.0,54.63,53.06,53.19,1.0,2996900
KO,2000-06-02,15.6703013019,15.8760187277,15.5421005873,15.8760187277,6324800,52.56,0.0,53.25,52.13,53.25,1.0,3162400
KO,2000-06-05,15.5033422317,15.7657064849,15.4288069326,15.5957660027,4837400,52.0,0.0,52.88,51.75,52.31,1.0,2418700
KO,2000-06-06,15.4466954044,15.4854537599,15.2230895068,15.2439593906,6609200,51.81,0.0,51.94,51.06,51.13,1.0,3304600
KO,2000-06-07,15.8014834285,15.8760187277,15.4675652881,15.5033422317,6865200,53.0,0.0,53.25,51.88,52.0,1.0,3432600
KO,2000-06-08,15.7448366011,15.8014834285,15.4675652881,15.5421005873,7779000,52.81,0.0,53.0,51.88,52.13,1.0,3889500
KO,2000-06-09,15.5957660027,15.9147770833,15.5421005873,15.7448366011,4966000,52.31,0.0,53.38,52.13,52.81,1.0,2483000
KO,2000-06-12,15.6911711857,15.9326655551,15.5778775309,15.5957660027,4122600,52.63,0.0,53.44,52.25,52.31,1.0,2061300
KO,2000-06-13,15.9654610867,16.1508973152,15.7949793929,15.8518066241,5626200,53.38,0.17,54.0,52.81,53.0,1.0,2813100
KO,2000-06-14,15.8518066241,16.189779105,15.6663703957,16.0192974111,10165800,53.0,0.0,54.13,52.38,53.56,1.0,5082900
KO,2000-06-15,16.7131878143,16.787960487,16.0940700839,16.1150064322,20672400,55.88,0.0,56.13,53.81,53.88,1.0,10336200
KO,2000-06-16,16.5995333517,16.8059059285,16.488869796,16.787960487,14330400,55.5,0.0,56.19,55.13,56.13,1.0,7165200
KO,2000-06-19,16.2824972192,16.4140971233,16.1508973152,16.1508973152,6989800,54.44,0.0,54.88,54.0,54.0,1.0,3494900
KO,2000-06-20,15.8338611827,16.0402337595,15.7590885099,15.9445247384,6947800,52.94,0.0,53.63,52.69,53.31,1.0,3473900
KO,2000-06-21,16.0013519697,16.2436154294,15.8518066241,16.1329518737,8780600,53.5,0.0,54.31,53.0,53.94,1.0,4390300
KO,2000-06-22,16.787960487,16.8986240427,15.8518066241,15.9265792969,11664600,56.13,0.0,56.5,53.0,53.25,1.0,5832300
KO,2000-06-23,17.3113691963,17.4399781935,16.6384151415,16.7490786972,15346000,57.88,0.0,58.31,55.63,56.0,1.0,7673000
KO,2000-06-26,17.6463507703,17.721123443,17.1977147337,17.3293146378,9900400,59.0,0.0,59.25,57.5,57.94,1.0,4950200
KO,2000-06-27,17.3113691963,17.6104598874,17.1977147337,17.5715780975,10429600,57.88,0.0,58.88,57.5,58.75,1.0,5214800
KO,2000-06-28,17.9603959958,18.2086412694,17.4609145418,17.4968054248,18989000,60.05,0.0,60.88,58.38,58.5,1.0,9494500
KO,2000-06-29,17.6642962117,18.0022686926,17.5715780975,17.9095505784,12743200,59.06,0.0,60.19,58.75,59.88,1.0,6371600
KO,2000-06-30,17.1797692923,17.589523539,16.82385137,17.3861418691,19122800,57.44,0.0,58.81,56.25,58.13,1.0,9561400
KO,2000-07-03,17.4040873105,17.4968054248,17.290432848,17.3861418691,7707200,58.19,0.0,58.5,57.81,58.13,1.0,3853600
KO,2000-07-05,17.5715780975,17.7031780016,17.422032752,17.6852325601,6960400,58.75,0.0,59.19,58.25,59.13,1.0,3480200
KO,2000-07-06,17.6284053288,17.6284053288,17.290432848,17.4399781935,5041200,58.94,0.0,58.94,57.81,58.31,1.0,2520600
KO,2000-07-07,17.5715780975,17.721123443,17.4609145418,17.5536326561,5043200,58.75,0.0,59.25,58.38,58.69,1.0,2521600
KO,2000-07-10,17.2156601752,17.5536326561,17.122942061,17.5356872146,6447200,57.56,0.0,58.69,57.25,58.63,1.0,3223600
KO,2000-07-11,16.8059059285,17.1977147337,16.6922514659,17.0122785053,8134200,56.19,0.0,57.5,55.81,56.88,1.0,4067100
KO,2000-07-12,16.787960487,16.8986240427,16.5247606789,16.5427061204,7153800,56.13,0.0,56.5,55.25,55.31,1.0,3576900
KO,2000-07-13,17.3293146378,17.3861418691,16.8806786013,16.8986240427,8450600,57.94,0.0,58.13,56.44,56.5,1.0,4225300
KO,2000-07-14,17.2365965236,17.4788599833,17.0481693882,17.3113691963,4648000,57.63,0.0,58.44,57.0,57.88,1.0,2324000
KO,2000-07-17,17.1498602232,17.2365965236,16.9165694842,17.2156601752,7003000,57.34,0.0,57.63,56.56,57.56,1.0,3501500
KO,2000-07-18,17.4040873105,17.5715780975,16.9375058326,17.1408875024,7595200,58.19,0.0,58.75,56.63,57.31,1.0,3797600
KO,2000-07-19,18.0949868068,18.1338685966,17.5715780975,17.6284053288,16435400,60.5,0.0,60.63,58.75,58.94,1.0,8217700
KO,2000-07-20,18.0949868068,18.1518140381,17.9095505784,18.0949868068,9225600,60.5,0.0,60.69,59.88,60.5,1.0,4612800
