underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
MELI,37.03,QMB080216C00025000,call,02/16/2008,01/31/2008,25.0,12.1,11.9,13.2,1,0,0.0,2.0186,0.9399,0.0115
MELI,37.03,QMB080216P00025000,put,02/16/2008,01/31/2008,25.0,0.53,0.35,0.55,66,0,1.4149,1.5992,-0.0703,0.0122
MELI,37.03,QMB080216C00030000,call,02/16/2008,01/31/2008,30.0,8.6,8.1,8.6,52,6,1.2758,1.5203,0.8211,0.0261
MELI,37.03,QMB080216P00030000,put,02/16/2008,01/31/2008,30.0,1.15,1.05,1.3,145,324,1.2909,1.4151,-0.1839,0.0258
MELI,37.03,QMB080216C00035000,call,02/16/2008,01/31/2008,35.0,4.9,4.7,5.0,1071,126,1.2131,1.3187,0.6374,0.0383
MELI,37.03,QMB080216P00035000,put,02/16/2008,01/31/2008,35.0,2.8,2.7,2.85,201,866,1.2439,1.2966,-0.3624,0.0384
MELI,37.03,QMB080216C00040000,call,02/16/2008,01/31/2008,40.0,2.4,2.25,2.6,747,439,1.1196,1.2371,0.43700000000000006,0.0407
MELI,37.03,QMB080216P00040000,put,02/16/2008,01/31/2008,40.0,5.5,4.9,5.6,92,733,1.0331,1.2692,-0.5686,0.042
MELI,37.03,QMB080216C00045000,call,02/16/2008,01/31/2008,45.0,1.25,1.0,1.25,352,1200,1.1025,1.2079,0.2698,0.0343
MELI,37.03,QMB080216P00045000,put,02/16/2008,01/31/2008,45.0,8.8,8.6,9.0,11,869,0.9671,1.1472,-0.7473,0.0352
MELI,37.03,QMB080216C00050000,call,02/16/2008,01/31/2008,50.0,0.6,0.45,0.6,1239,909,1.1224,1.2161,0.1558,0.0247
MELI,37.03,QMB080216P00050000,put,02/16/2008,01/31/2008,50.0,12.9,13.0,14.1,0,520,0.8244,1.5267,-0.8675,0.0239
MELI,37.03,QMB080216C00055000,call,02/16/2008,01/31/2008,55.0,0.25,0.25,0.3,78,2340,1.1948,1.2422,0.0879,0.0163
MELI,37.03,QMB080216P00055000,put,02/16/2008,01/31/2008,55.0,17.77,17.7,18.9,20,527,0.0,1.7084,-0.9339,0.0143
MELI,37.03,QMB080216C00060000,call,02/16/2008,01/31/2008,60.0,0.15,0.1,0.2,130,633,1.1822,1.3321,0.0508,0.0104
MELI,37.03,QMB080216P00060000,put,02/16/2008,01/31/2008,60.0,22.87,22.6,23.6,20,894,0.0,1.7705,-0.9689,0.0078
MELI,37.03,QMB080216C00065000,call,02/16/2008,01/31/2008,65.0,0.1,0.05,0.2,59,1390,1.2123,1.4996,0.0311,0.0068
MELI,37.03,QMB080216P00065000,put,02/16/2008,01/31/2008,65.0,27.2,27.6,28.3,0,169,0.0,1.7479,-0.9859,0.004
MELI,37.03,QMB080216C00070000,call,02/16/2008,01/31/2008,70.0,0.07,0.0,0.05,21,748,0.0,1.3438,0.0207,0.0046
MELI,37.03,QMB080216P00070000,put,02/16/2008,01/31/2008,70.0,32.1,32.5,33.3,0,53,0.0,1.9212,-0.9938,0.0019
MELI,37.03,QMB080216C00075000,call,02/16/2008,01/31/2008,75.0,0.2,0.0,0.2,0,535,0.0,1.7893,0.0153,0.0034
MELI,37.03,QMB080216P00075000,put,02/16/2008,01/31/2008,75.0,34.1,37.4,38.2,0,71,0.0,1.9803,-0.9973,0.0009
MELI,37.03,QMB080216C00080000,call,02/16/2008,01/31/2008,80.0,0.15,0.0,0.1,10,781,0.0,1.7259,0.0125,0.0027
MELI,37.03,QMB080216P00080000,put,02/16/2008,01/31/2008,80.0,34.32,42.3,43.3,0,33,0.0,2.2257,-0.9989,0.0004
MELI,37.03,QMB080216C00085000,call,02/16/2008,01/31/2008,85.0,0.4,0.0,0.2,0,175,0.0,2.0331,0.0112,0.0024
MELI,37.03,QMB080216P00085000,put,02/16/2008,01/31/2008,85.0,34.8,47.3,48.7,0,4,0.0,2.6877,-0.9995,0.0002
MELI,37.03,QMB080216C00090000,call,02/16/2008,01/31/2008,90.0,0.05,0.0,0.2,0,193,0.0,2.1413,0.0071,0.0016
MELI,37.03,QMB080216P00090000,put,02/16/2008,01/31/2008,90.0,27.0,52.3,53.7,0,0,0.0,2.8204,-0.9998,0.0001
