underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
BFR,20.91,BFR151218C00002500,call,12/18/2015,11/25/2015,2.5,0.0,17.4,20.1,0,0,0.0,12.1847,0.9990000000000001,0.0002
BFR,20.91,BFR151218P00002500,put,12/18/2015,11/25/2015,2.5,0.0,0.0,0.35,0,0,0.0,6.2391,-0.0007,0.0002
BFR,20.91,BFR151218C00005000,call,12/18/2015,11/25/2015,5.0,0.0,14.7,17.6,0,0,0.0,7.1183,0.9863,0.0021
BFR,20.91,BFR151218P00005000,put,12/18/2015,11/25/2015,5.0,0.0,0.0,0.35,0,0,0.0,4.1339,-0.0116,0.0019
BFR,20.91,BFR151218C00007500,call,12/18/2015,11/25/2015,7.5,0.0,12.1,15.1,0,0,0.0,5.1508,0.9547,0.0058
BFR,20.91,BFR151218P00007500,put,12/18/2015,11/25/2015,7.5,0.0,0.0,0.35,0,0,0.0,3.0275,-0.0414,0.0056
BFR,20.91,BFR151218C00010000,call,12/18/2015,11/25/2015,10.0,0.0,9.7,12.6,0,0,0.0,3.9218,0.9405,0.0097
BFR,20.91,BFR151218P00010000,put,12/18/2015,11/25/2015,10.0,0.0,0.0,0.35,0,0,0.0,2.2717,-0.0621,0.0098
BFR,20.91,BFR151218C00012500,call,12/18/2015,11/25/2015,12.5,0.0,7.5,10.1,0,0,0.0,3.0177,0.9255,0.0162
BFR,20.91,BFR151218P00012500,put,12/18/2015,11/25/2015,12.5,0.0,0.0,0.35,0,0,0.0,1.6897,-0.0883,0.0167
BFR,20.91,BFR151218C00015000,call,12/18/2015,11/25/2015,15.0,0.0,5.1,7.6,0,0,0.0,2.2867,0.8981,0.0287
BFR,20.91,BFR151218P00015000,put,12/18/2015,11/25/2015,15.0,0.0,0.0,4.8,0,0,0.0,4.4153,-0.1291,0.028999999999999998
BFR,20.91,BFR151218C00017500,call,12/18/2015,11/25/2015,17.5,3.5,2.85,5.0,138,138,0.0,1.5911,0.8221,0.0569
BFR,20.91,BFR151218P00017500,put,12/18/2015,11/25/2015,17.5,0.0,0.05,1.25,0,0,0.4514,1.3874,-0.1847,0.0561
BFR,20.91,BFR151218C00020000,call,12/18/2015,11/25/2015,20.0,0.0,1.5,4.9,0,0,0.4836,2.2218,0.6183,0.0545
BFR,20.91,BFR151218P00020000,put,12/18/2015,11/25/2015,20.0,1.04,0.3,1.85,0,176,0.3265,1.1326,-0.3677,0.0998
